date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:33	51155/51155	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/bradthemad.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/bradthemad.jpg	(from https://powhcoin.com/)
16:59:33	5023/5023	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/privacy.html	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/privacy.html	(from https://powhcoin.com/)
16:59:33	18470/18470	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/terms.html	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/terms.html	(from https://powhcoin.com/)
16:59:33	124391/124391	---M--	200	added ('OK')	application/javascript	etag:%22ff84fa01df9be24c06389e0c9536efb7%22	https://platform.twitter.com/widgets.js	D:/Imajs/crab16/PoWHcrab16/platform.twitter.com/widgets.js	(from https://powhcoin.com/)
16:59:34	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	D:/Imajs/crab16/PoWHcrab16/code.jquery.com/jquery-3.2.1.min.js	(from https://powhcoin.com/)
16:59:34	19033/19033	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:34:43%20GMT	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	D:/Imajs/crab16/PoWHcrab16/cdnjs.cloudflare.com/ajax/libs/popper.js/1.11.0/umd/popper.min.js	(from https://powhcoin.com/)
16:59:35	152666/152666	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/agency-landing/welcome-cover.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/agency-landing/welcome-cover.jpg	(from https://powhcoin.com/shards-extras.min.css)
16:59:36	164483/164483	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/app-promo/welcome-cover.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/app-promo/welcome-cover.jpg	(from https://powhcoin.com/shards-extras.min.css)
16:59:36	37/37	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/my.css	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/my.css	(from https://powhcoin.com/index2.html)
16:59:36	106342/106342	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/app-promo/features-background.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/app-promo/features-background.jpg	(from https://powhcoin.com/shards-extras.min.css)
16:59:36	650/650	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/static/css/main.c17080f1.css	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/static/css/main.c17080f1.css	(from https://powhcoin.com/index2.html)
16:59:37	1034794/1034794	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/static/js/main.410976cc.js	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/static/js/main.410976cc.js	(from https://powhcoin.com/index2.html)
16:59:37	145093/145093	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/shill-kit/PoWH_DARK_WHITE_HILIGHTS.png	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/shill-kit/PoWH_DARK_WHITE_HILIGHTS.png	(from https://powhcoin.com/index3.html)
16:59:37	147587/147587	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/shill-kit/PoWH_DARK_WHITE_HILIGHTS_proof_of_weak_hands_underneath.png	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/shill-kit/PoWH_DARK_WHITE_HILIGHTS_proof_of_weak_hands_underneath.png	(from https://powhcoin.com/index3.html)
16:59:37	187028/187028	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/shill-kit/PoWH_NO_BACKGROUND_WHITE_HILIGHTS.png	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/shill-kit/PoWH_NO_BACKGROUND_WHITE_HILIGHTS.png	(from https://powhcoin.com/index3.html)
16:59:38	189484/189484	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/shill-kit/PoWH_NO_BACKGROUND_WHITE_HILIGHTS_proof_of_weak_hands_underneath.png	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/shill-kit/PoWH_NO_BACKGROUND_WHITE_HILIGHTS_proof_of_weak_hands_underneath.png	(from https://powhcoin.com/index3.html)
16:59:38	151960/151960	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/shill-kit/POWHCLEAR.png	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/shill-kit/POWHCLEAR.png	(from https://powhcoin.com/index3.html)
16:59:38	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%22baaadea4492b059f284187d75af46063%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta/js/bootstrap.min.js	D:/Imajs/crab16/PoWHcrab16/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta/js/bootstrap.min.js	(from https://powhcoin.com/)
